Unnamed: 0,Well,Sample_ID,CDS,Inducer_Conc,Promoter,Temperature,pH,Expression_Level
0,A01,Sample_001,Gene_D,0.9122598161138248,P1,34.56098176450298,6.7,190.0
1,A02,Sample_002,Gene_A,1.0,P1,35.1,6.7,206.7
2,A03,Sample_003,Gene_D,0.9329934886589508,P1,35.1,6.7,244.6
3,A04,Sample_004,Gene_D,1.0,P1,33.83008824469663,6.714770708682584,144.7
4,A05,Sample_005,Gene_D,1.0,P1,35.1,6.803951745141159,169.1
5,A06,Sample_006,Gene_C,0.9306283075160358,P1,35.1,6.797365663758409,139.6
6,A07,Sample_007,Gene_D,1.0,P1,35.1,6.745351525662967,277.4
7,A08,Sample_008,Gene_C,0.9868399652670476,P2,35.1,6.737906633672943,198.1
8,A09,Sample_009,Gene_C,1.0,P1,34.34594716305048,6.7,203.6
9,A10,Sample_010,Gene_C,0.9110002116536442,P1,35.1,6.7,159.1
10,A11,Sample_011,Gene_C,0.8945143871393509,P1,35.1,6.7,113.4
11,A12,Sample_012,Gene_C,1.0,P1,35.1,6.7,183.7
12,B01,Sample_013,Gene_C,0.970150464827971,P1,35.1,6.818387902015885,135.8
13,B02,Sample_014,Gene_D,1.0,P1,35.00193541278349,6.759227265435819,200.6
14,B03,Sample_015,Gene_C,0.9322565025545276,P1,33.90327069249817,6.7,49.6
15,B04,Sample_016,Gene_C,0.9589627745891502,P1,35.1,6.841034997784258,73.6
16,B05,Sample_017,Gene_D,0.908182402174,P2,35.1,6.728622988827863,140.8
17,B06,Sample_018,Gene_C,1.0,P1,34.0116411993139,6.7,144.9
18,B07,Sample_019,Gene_C,1.0,P1,35.1,6.741203814904484,153.1
19,B08,Sample_020,Gene_C,1.0,P1,35.1,6.752111300104464,175.4
